,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
3195,,17334,269
3195,,17334,18
3195,,17334,0
3195,,17334,255
3195,,17334,0
3195,,17334,0
3195,,17334,17
3195,,17334,267
3195,,17334,122
3195,,17334,239
3195,,17334,9
3195,,17334,0
3195,,17334,2945
3195,,17334,7
3195,,17334,68
3195,,17334,8
3195,,17334,0
3195,,17334,121
3195,,17334,0
3195,,17334,76
3195,,17334,0
3195,,17334,6
3195,,17334,0
3195,,17334,31
3195,,17334,0
3195,,17334,30
3195,,17334,0
3195,,17334,131
3195,,17334,231
3195,,17334,18
3195,,17334,0
3195,,17334,0
3195,,17334,163
3195,,17334,37
3195,,17334,47
3195,,17334,34
3195,,17334,38
3195,,17334,11
3195,,17334,12
3195,,17334,0
3195,,17334,0
3195,,17334,40
3195,,17334,20
3195,,17334,68
3195,,17334,18
3195,,17334,8
3195,,17334,173
3195,,17334,101
3195,,17334,36
3195,,17334,0
3195,,17334,0
3195,,17334,39
3195,,17334,47
3195,,17334,31
3195,,17334,202
3195,,17334,70
3195,,17334,0
3195,,17334,73
3195,,17334,44
3195,,17334,62
3195,,17334,37
3195,,17334,1336
3195,,17334,45
3195,,17334,0
3195,,17334,45
3195,,17334,248
3195,,17334,20
3195,,17334,84
3195,,17334,17
3195,,17334,24
3195,,17334,68
3195,,17334,7
3195,,17334,0
3195,,17334,39
3195,,17334,152
3196,,20984,25
3196,,20984,0
3196,,20984,115
3196,,20984,269
3196,,20984,18
3196,,20984,0
3196,,20984,255
3196,,20984,0
3196,,20984,0
3196,,20984,17
3196,,20984,267
3196,,20984,122
3196,,20984,239
3196,,20984,9
3196,,20984,0
3196,,20984,2945
3196,,20984,7
3196,,20984,68
3196,,20984,8
3196,,20984,0
3196,,20984,121
3196,,20984,0
3196,,20984,76
3196,,20984,0
3196,,20984,6
3196,,20984,0
3196,,20984,31
3196,,20984,0
3196,,20984,30
3196,,20984,0
3196,,20984,131
3196,,20984,231
3196,,20984,18
3196,,20984,0
3196,,20984,0
3196,,20984,163
3196,,20984,37
3196,,20984,47
3196,,20984,34
3196,,20984,38
3196,,20984,11
3196,,20984,12
3196,,20984,0
3196,,20984,0
3196,,20984,40
3196,,20984,20
3196,,20984,68
3196,,20984,18
3196,,20984,8
3196,,20984,173
3196,,20984,101
3196,,20984,36
3196,,20984,0
3196,,20984,0
3196,,20984,39
3196,,20984,47
3196,,20984,31
3196,,20984,202
3196,,20984,70
3196,,20984,0
3196,,20984,73
3196,,20984,44
3196,,20984,62
3196,,20984,37
3196,,20984,1336
3196,,20984,45
3196,,20984,0
3196,,20984,45
3196,,20984,248
3196,,20984,20
3196,,20984,84
3196,,20984,17
3196,,20984,24
3196,,20984,68
3196,,20984,7
3196,,20984,0
3196,,20984,39
3196,,20984,152
3197,,143926,25
3197,,143926,0
3197,,143926,115
3197,,143926,269
3197,,143926,18
3197,,143926,0
3197,,143926,255
3197,,143926,0
3197,,143926,0
3197,,143926,17
3197,,143926,267
3197,,143926,122
3197,,143926,239
3197,,143926,9
3197,,143926,0
3197,,143926,2945
3197,,143926,7
3197,,143926,68
3197,,143926,8
3197,,143926,0
3197,,143926,121
3197,,143926,0
3197,,143926,76
3197,,143926,0
3197,,143926,6
3197,,143926,0
3197,,143926,31
3197,,143926,0
3197,,143926,30
3197,,143926,0
3197,,143926,131
3197,,143926,231
3197,,143926,18
3197,,143926,0
3197,,143926,0
3197,,143926,163
3197,,143926,37
3197,,143926,47
3197,,143926,34
3197,,143926,38
3197,,143926,11
3197,,143926,12
3197,,143926,0
3197,,143926,0
3197,,143926,40
3197,,143926,20
3197,,143926,68
3197,,143926,18
3197,,143926,8
3197,,143926,173
3197,,143926,101
3197,,143926,36
3197,,143926,0
3197,,143926,0
3197,,143926,39
3197,,143926,47
3197,,143926,31
3197,,143926,202
3197,,143926,70
3197,,143926,0
3197,,143926,73
3197,,143926,44
3197,,143926,62
3197,,143926,37
3197,,143926,1336
3197,,143926,45
3197,,143926,0
3197,,143926,45
3197,,143926,248
3197,,143926,20
3197,,143926,84
3197,,143926,17
3197,,143926,24
3197,,143926,68
3197,,143926,7
3197,,143926,0
3197,,143926,39
3197,,143926,152
3198,,24036,25
3198,,24036,0
3198,,24036,115
3198,,24036,269
3198,,24036,18
3198,,24036,0
3198,,24036,255
3198,,24036,0
3198,,24036,0
3198,,24036,17
3198,,24036,267
3198,,24036,122
3198,,24036,239
3198,,24036,9
3198,,24036,0
3198,,24036,2945
3198,,24036,7
3198,,24036,68
3198,,24036,8
3198,,24036,0
3198,,24036,121
3198,,24036,0
3198,,24036,76
3198,,24036,0
3198,,24036,6
3198,,24036,0
3198,,24036,31
3198,,24036,0
3198,,24036,30
3198,,24036,0
3198,,24036,131
3198,,24036,231
3198,,24036,18
3198,,24036,0
3198,,24036,0
3198,,24036,163
3198,,24036,37
3198,,24036,47
3198,,24036,34
3198,,24036,38
3198,,24036,11
3198,,24036,12
3198,,24036,0
3198,,24036,0
3198,,24036,40
3198,,24036,20
3198,,24036,68
3198,,24036,18
3198,,24036,8
3198,,24036,173
3198,,24036,101
3198,,24036,36
3198,,24036,0
3198,,24036,0
3198,,24036,39
3198,,24036,47
3198,,24036,31
3198,,24036,202
3198,,24036,70
3198,,24036,0
3198,,24036,73
3198,,24036,44
3198,,24036,62
3198,,24036,37
3198,,24036,1336
3198,,24036,45
3198,,24036,0
3198,,24036,45
3198,,24036,248
3198,,24036,20
3198,,24036,84
3198,,24036,17
3198,,24036,24
3198,,24036,68
3198,,24036,7
3198,,24036,0
3198,,24036,39
3198,,24036,152
3199,,14269,25
3199,,14269,0
3199,,14269,115
3199,,14269,269
3199,,14269,18
3199,,14269,0
3199,,14269,255
3199,,14269,0
3199,,14269,0
3199,,14269,17
3199,,14269,267
3199,,14269,122
3199,,14269,239
3199,,14269,9
3199,,14269,0
3199,,14269,2945
3199,,14269,7
3199,,14269,68
3199,,14269,8
3199,,14269,0
3199,,14269,121
3199,,14269,0
3199,,14269,76
3199,,14269,0
3199,,14269,6
3199,,14269,0
3199,,14269,31
3199,,14269,0
3199,,14269,30
3199,,14269,0
3199,,14269,131
3199,,14269,231
3199,,14269,18
3199,,14269,0
3199,,14269,0
3199,,14269,163
3199,,14269,37
3199,,14269,47
3199,,14269,34
3199,,14269,38
3199,,14269,11
3199,,14269,12
3199,,14269,0
3199,,14269,0
3199,,14269,40
3199,,14269,20
3199,,14269,68
3199,,14269,18
3199,,14269,8
3199,,14269,173
3199,,14269,101
3199,,14269,36
3199,,14269,0
3199,,14269,0
3199,,14269,39
3199,,14269,47
3199,,14269,31
3199,,14269,202
3199,,14269,70
3199,,14269,0
3199,,14269,73
3199,,14269,44
3199,,14269,62
3199,,14269,37
3199,,14269,1336
3199,,14269,45
3199,,14269,0
3199,,14269,45
3199,,14269,248
3199,,14269,20
3199,,14269,84
3199,,14269,17
3199,,14269,24
3199,,14269,68
3199,,14269,7
3199,,14269,0
3199,,14269,39
3199,,14269,152
3200,,50550,25
3200,,50550,0
3200,,50550,115
3200,,50550,269
3200,,50550,18
3200,,50550,0
3200,,50550,255
3200,,50550,0
3200,,50550,0
3200,,50550,17
3200,,50550,267
3200,,50550,122
3200,,50550,239
3200,,50550,9
3200,,50550,0
3200,,50550,2945
3200,,50550,7
3200,,50550,68
3200,,50550,8
3200,,50550,0
3200,,50550,121
3200,,50550,0
3200,,50550,76
3200,,50550,0
3200,,50550,6
3200,,50550,0
3200,,50550,31
3200,,50550,0
3200,,50550,30
3200,,50550,0
3200,,50550,131
3200,,50550,231
3200,,50550,18
3200,,50550,0
3200,,50550,0
3200,,50550,163
3200,,50550,37
3200,,50550,47
3200,,50550,34
3200,,50550,38
3200,,50550,11
3200,,50550,12
3200,,50550,0
3200,,50550,0
3200,,50550,40
3200,,50550,20
3200,,50550,68
3200,,50550,18
3200,,50550,8
3200,,50550,173
3200,,50550,101
3200,,50550,36
3200,,50550,0
3200,,50550,0
3200,,50550,39
3200,,50550,47
3200,,50550,31
3200,,50550,202
3200,,50550,70
3200,,50550,0
3200,,50550,73
3200,,50550,44
3200,,50550,62
3200,,50550,37
3200,,50550,1336
3200,,50550,45
3200,,50550,0
3200,,50550,45
3200,,50550,248
3200,,50550,20
3200,,50550,84
3200,,50550,17
3200,,50550,24
3200,,50550,68
3200,,50550,7
3200,,50550,0
3200,,50550,39
3200,,50550,152
3201,,23054,25
3201,,23054,0
3201,,23054,115
3201,,23054,269
3201,,23054,18
3201,,23054,0
3201,,23054,255
3201,,23054,0
3201,,23054,0
3201,,23054,17
3201,,23054,267
3201,,23054,122
3201,,23054,239
3201,,23054,9
3201,,23054,0
3201,,23054,2945
3201,,23054,7
3201,,23054,68
3201,,23054,8
3201,,23054,0
3201,,23054,121
3201,,23054,0
3201,,23054,76
3201,,23054,0
3201,,23054,6
3201,,23054,0
3201,,23054,31
3201,,23054,0
3201,,23054,30
3201,,23054,0
3201,,23054,131
3201,,23054,231
3201,,23054,18
3201,,23054,0
3201,,23054,0
3201,,23054,163
3201,,23054,37
3201,,23054,47
3201,,23054,34
3201,,23054,38
3201,,23054,11
3201,,23054,12
3201,,23054,0
3201,,23054,0
3201,,23054,40
3201,,23054,20
3201,,23054,68
3201,,23054,18
3201,,23054,8
3201,,23054,173
3201,,23054,101
3201,,23054,36
3201,,23054,0
3201,,23054,0
3201,,23054,39
3201,,23054,47
3201,,23054,31
3201,,23054,202
3201,,23054,70
3201,,23054,0
3201,,23054,73
3201,,23054,44
3201,,23054,62
3201,,23054,37
3201,,23054,1336
3201,,23054,45
3201,,23054,0
3201,,23054,45
3201,,23054,248
3201,,23054,20
3201,,23054,84
3201,,23054,17
3201,,23054,24
3201,,23054,68
3201,,23054,7
3201,,23054,0
3201,,23054,39
3201,,23054,152
3202,,28633,25
3202,,28633,0
3202,,28633,115
3202,,28633,269
3202,,28633,18
3202,,28633,0
3202,,28633,255
3202,,28633,0
3202,,28633,0
3202,,28633,17
3202,,28633,267
3202,,28633,122
3202,,28633,239
3202,,28633,9
3202,,28633,0
3202,,28633,2945
3202,,28633,7
3202,,28633,68
3202,,28633,8
3202,,28633,0
3202,,28633,121
3202,,28633,0
3202,,28633,76
3202,,28633,0
3202,,28633,6
3202,,28633,0
3202,,28633,31
3202,,28633,0
3202,,28633,30
3202,,28633,0
3202,,28633,131
3202,,28633,231
3202,,28633,18
3202,,28633,0
3202,,28633,0
3202,,28633,163
3202,,28633,37
3202,,28633,47
3202,,28633,34
3202,,28633,38
3202,,28633,11
3202,,28633,12
3202,,28633,0
3202,,28633,0
3202,,28633,40
3202,,28633,20
3202,,28633,68
3202,,28633,18
3202,,28633,8
3202,,28633,173
3202,,28633,101
3202,,28633,36
3202,,28633,0
3202,,28633,0
3202,,28633,39
3202,,28633,47
3202,,28633,31
3202,,28633,202
3202,,28633,70
3202,,28633,0
3202,,28633,73
3202,,28633,44
3202,,28633,62
3202,,28633,37
3202,,28633,1336
3202,,28633,45
3202,,28633,0
3202,,28633,45
3202,,28633,248
3202,,28633,20
3202,,28633,84
3202,,28633,17
3202,,28633,24
3202,,28633,68
3202,,28633,7
3202,,28633,0
3202,,28633,39
3202,,28633,152
3203,,32114,25
3203,,32114,0
3203,,32114,115
3203,,32114,269
3203,,32114,18
3203,,32114,0
3203,,32114,255
3203,,32114,0
3203,,32114,0
3203,,32114,17
3203,,32114,267
3203,,32114,122
3203,,32114,239
3203,,32114,9
3203,,32114,0
3203,,32114,2945
3203,,32114,7
3203,,32114,68
3203,,32114,8
3203,,32114,0
3203,,32114,121
3203,,32114,0
3203,,32114,76
3203,,32114,0
3203,,32114,6
3203,,32114,0
3203,,32114,31
3203,,32114,0
3203,,32114,30
3203,,32114,0
3203,,32114,131
3203,,32114,231
3203,,32114,18
3203,,32114,0
3203,,32114,0
3203,,32114,163
3203,,32114,37
3203,,32114,47
3203,,32114,34
3203,,32114,38
3203,,32114,11
3203,,32114,12
3203,,32114,0
3203,,32114,0
3203,,32114,40
3203,,32114,20
3203,,32114,68
3203,,32114,18
3203,,32114,8
3203,,32114,173
3203,,32114,101
3203,,32114,36
3203,,32114,0
3203,,32114,0
3203,,32114,39
3203,,32114,47
3203,,32114,31
3203,,32114,202
3203,,32114,70
3203,,32114,0
3203,,32114,73
3203,,32114,44
3203,,32114,62
3203,,32114,37
3203,,32114,1336
3203,,32114,45
3203,,32114,0
3203,,32114,45
3203,,32114,248
3203,,32114,20
3203,,32114,84
3203,,32114,17
3203,,32114,24
3203,,32114,68
3203,,32114,7
3203,,32114,0
3203,,32114,39
3203,,32114,152
3204,,344606,25
3204,,344606,0
3204,,344606,115
3204,,344606,269
3204,,344606,18
3204,,344606,0
3204,,344606,255
3204,,344606,0
3204,,344606,0
3204,,344606,17
3204,,344606,267
3204,,344606,122
3204,,344606,239
3204,,344606,9
3204,,344606,0
3204,,344606,2945
3204,,344606,7
3204,,344606,68
3204,,344606,8
3204,,344606,0
3204,,344606,121
3204,,344606,0
3204,,344606,76
3204,,344606,0
3204,,344606,6
3204,,344606,0
3204,,344606,31
3204,,344606,0
3204,,344606,30
3204,,344606,0
3204,,344606,131
3204,,344606,231
3204,,344606,18
3204,,344606,0
3204,,344606,0
3204,,344606,163
3204,,344606,37
3204,,344606,47
3204,,344606,34
3204,,344606,38
3204,,344606,11
3204,,344606,12
3204,,344606,0
3204,,344606,0
3204,,344606,40
3204,,344606,20
3204,,344606,68
3204,,344606,18
3204,,344606,8
3204,,344606,173
3204,,344606,101
3204,,344606,36
3204,,344606,0
3204,,344606,0
3204,,344606,39
3204,,344606,47
3204,,344606,31
3204,,344606,202
3204,,344606,70
3204,,344606,0
3204,,344606,73
3204,,344606,44
3204,,344606,62
3204,,344606,37
3204,,344606,1336
3204,,344606,45
3204,,344606,0
3204,,344606,45
3204,,344606,248
3204,,344606,20
3204,,344606,84
3204,,344606,17
3204,,344606,24
3204,,344606,68
3204,,344606,7
3204,,344606,0
3204,,344606,39
3204,,344606,152
3205,,37873,25
3205,,37873,0
3205,,37873,115
3205,,37873,269
3205,,37873,18
3205,,37873,0
3205,,37873,255
3205,,37873,0
3205,,37873,0
3205,,37873,17
3205,,37873,267
3205,,37873,122
3205,,37873,239
3205,,37873,9
3205,,37873,0
3205,,37873,2945
3205,,37873,7
3205,,37873,68
3205,,37873,8
3205,,37873,0
3205,,37873,121
3205,,37873,0
3205,,37873,76
3205,,37873,0
3205,,37873,6
3205,,37873,0
3205,,37873,31
3205,,37873,0
3205,,37873,30
3205,,37873,0
3205,,37873,131
3205,,37873,231
3205,,37873,18
3205,,37873,0
3205,,37873,0
3205,,37873,163
3205,,37873,37
3205,,37873,47
3205,,37873,34
3205,,37873,38
3205,,37873,11
3205,,37873,12
3205,,37873,0
3205,,37873,0
3205,,37873,40
3205,,37873,20
3205,,37873,68
3205,,37873,18
3205,,37873,8
3205,,37873,173
3205,,37873,101
3205,,37873,36
3205,,37873,0
3205,,37873,0
3205,,37873,39
3205,,37873,47
3205,,37873,31
3205,,37873,202
3205,,37873,70
3205,,37873,0
3205,,37873,73
3205,,37873,44
3205,,37873,62
3205,,37873,37
3205,,37873,1336
3205,,37873,45
3205,,37873,0
3205,,37873,45
3205,,37873,248
3205,,37873,20
3205,,37873,84
3205,,37873,17
3205,,37873,24
3205,,37873,68
3205,,37873,7
3205,,37873,0
3205,,37873,39
3205,,37873,152
3206,,37964,25
3206,,37964,0
3206,,37964,115
3206,,37964,269
3206,,37964,18
3206,,37964,0
3206,,37964,255
3206,,37964,0
3206,,37964,0
3206,,37964,17
3206,,37964,267
3206,,37964,122
3206,,37964,239
3206,,37964,9
3206,,37964,0
3206,,37964,2945
3206,,37964,7
3206,,37964,68
3206,,37964,8
3206,,37964,0
3206,,37964,121
3206,,37964,0
3206,,37964,76
3206,,37964,0
3206,,37964,6
3206,,37964,0
3206,,37964,31
3206,,37964,0
3206,,37964,30
3206,,37964,0
3206,,37964,131
3206,,37964,231
3206,,37964,18
3206,,37964,0
3206,,37964,0
3206,,37964,163
3206,,37964,37
3206,,37964,47
3206,,37964,34
3206,,37964,38
3206,,37964,11
3206,,37964,12
3206,,37964,0
3206,,37964,0
3206,,37964,40
3206,,37964,20
3206,,37964,68
3206,,37964,18
3206,,37964,8
3206,,37964,173
3206,,37964,101
3206,,37964,36
3206,,37964,0
3206,,37964,0
3206,,37964,39
3206,,37964,47
3206,,37964,31
3206,,37964,202
3206,,37964,70
3206,,37964,0
3206,,37964,73
3206,,37964,44
3206,,37964,62
3206,,37964,37
3206,,37964,1336
3206,,37964,45
3206,,37964,0
3206,,37964,45
3206,,37964,248
3206,,37964,20
3206,,37964,84
3206,,37964,17
3206,,37964,24
3206,,37964,68
3206,,37964,7
3206,,37964,0
3206,,37964,39
3206,,37964,152
3207,,22066,25
3207,,22066,0
3207,,22066,115
3207,,22066,269
3207,,22066,18
3207,,22066,0
3207,,22066,255
3207,,22066,0
3207,,22066,0
3207,,22066,17
3207,,22066,267
3207,,22066,122
3207,,22066,239
3207,,22066,9
3207,,22066,0
3207,,22066,2945
3207,,22066,7
3207,,22066,68
3207,,22066,8
3207,,22066,0
3207,,22066,121
3207,,22066,0
3207,,22066,76
3207,,22066,0
3207,,22066,6
3207,,22066,0
3207,,22066,31
3207,,22066,0
3207,,22066,30
3207,,22066,0
3207,,22066,131
3207,,22066,231
3207,,22066,18
3207,,22066,0
3207,,22066,0
3207,,22066,163
3207,,22066,37
3207,,22066,47
3207,,22066,34
3207,,22066,38
3207,,22066,11
3207,,22066,12
3207,,22066,0
3207,,22066,0
3207,,22066,40
3207,,22066,20
3207,,22066,68
3207,,22066,18
3207,,22066,8
3207,,22066,173
3207,,22066,101
3207,,22066,36
3207,,22066,0
3207,,22066,0
3207,,22066,39
3207,,22066,47
3207,,22066,31
3207,,22066,202
3207,,22066,70
3207,,22066,0
3207,,22066,73
3207,,22066,44
3207,,22066,62
3207,,22066,37
3207,,22066,1336
3207,,22066,45
3207,,22066,0
3207,,22066,45
3207,,22066,248
3207,,22066,20
3207,,22066,84
3207,,22066,17
3207,,22066,24
3207,,22066,68
3207,,22066,7
3207,,22066,0
3207,,22066,39
3207,,22066,152
3208,,73405,25
3208,,73405,0
3208,,73405,115
3208,,73405,269
3208,,73405,18
3208,,73405,0
3208,,73405,255
3208,,73405,0
3208,,73405,0
3208,,73405,17
3208,,73405,267
3208,,73405,122
3208,,73405,239
3208,,73405,9
3208,,73405,0
3208,,73405,2945
3208,,73405,7
3208,,73405,68
3208,,73405,8
3208,,73405,0
3208,,73405,121
3208,,73405,0
3208,,73405,76
3208,,73405,0
3208,,73405,6
3208,,73405,0
3208,,73405,31
3208,,73405,0
3208,,73405,30
3208,,73405,0
3208,,73405,131
3208,,73405,231
3208,,73405,18
3208,,73405,0
3208,,73405,0
3208,,73405,163
3208,,73405,37
3208,,73405,47
3208,,73405,34
3208,,73405,38
3208,,73405,11
3208,,73405,12
3208,,73405,0
3208,,73405,0
3208,,73405,40
3208,,73405,20
3208,,73405,68
3208,,73405,18
3208,,73405,8
3208,,73405,173
3208,,73405,101
3208,,73405,36
3208,,73405,0
3208,,73405,0
3208,,73405,39
3208,,73405,47
3208,,73405,31
3208,,73405,202
3208,,73405,70
3208,,73405,0
3208,,73405,73
3208,,73405,44
3208,,73405,62
3208,,73405,37
3208,,73405,1336
3208,,73405,45
3208,,73405,0
3208,,73405,45
3208,,73405,248
3208,,73405,20
3208,,73405,84
3208,,73405,17
3208,,73405,24
3208,,73405,68
3208,,73405,7
3208,,73405,0
3208,,73405,39
3208,,73405,152
3209,,79726,25
3209,,79726,0
3209,,79726,115
3209,,79726,269
3209,,79726,18
3209,,79726,0
3209,,79726,255
3209,,79726,0
3209,,79726,0
3209,,79726,17
3209,,79726,267
3209,,79726,122
3209,,79726,239
3209,,79726,9
3209,,79726,0
3209,,79726,2945
3209,,79726,7
3209,,79726,68
3209,,79726,8
3209,,79726,0
3209,,79726,121
3209,,79726,0
3209,,79726,76
3209,,79726,0
3209,,79726,6
3209,,79726,0
3209,,79726,31
3209,,79726,0
3209,,79726,30
3209,,79726,0
3209,,79726,131
3209,,79726,231
3209,,79726,18
3209,,79726,0
3209,,79726,0
3209,,79726,163
3209,,79726,37
3209,,79726,47
3209,,79726,34
3209,,79726,38
3209,,79726,11
3209,,79726,12
3209,,79726,0
3209,,79726,0
3209,,79726,40
3209,,79726,20
3209,,79726,68
3209,,79726,18
3209,,79726,8
3209,,79726,173
3209,,79726,101
3209,,79726,36
3209,,79726,0
3209,,79726,0
3209,,79726,39
3209,,79726,47
3209,,79726,31
3209,,79726,202
3209,,79726,70
3209,,79726,0
3209,,79726,73
3209,,79726,44
3209,,79726,62
3209,,79726,37
3209,,79726,1336
3209,,79726,45
3209,,79726,0
3209,,79726,45
3209,,79726,248
3209,,79726,20
3209,,79726,84
3209,,79726,17
3209,,79726,24
3209,,79726,68
3209,,79726,7
3209,,79726,0
3209,,79726,39
3209,,79726,152
3210,,67780,25
3210,,67780,0
3210,,67780,115
3210,,67780,269
3210,,67780,18
3210,,67780,0
3210,,67780,255
3210,,67780,0
3210,,67780,0
3210,,67780,17
3210,,67780,267
3210,,67780,122
3210,,67780,239
3210,,67780,9
3210,,67780,0
3210,,67780,2945
3210,,67780,7
3210,,67780,68
3210,,67780,8
3210,,67780,0
3210,,67780,121
3210,,67780,0
3210,,67780,76
3210,,67780,0
3210,,67780,6
3210,,67780,0
3210,,67780,31
3210,,67780,0
3210,,67780,30
3210,,67780,0
3210,,67780,131
3210,,67780,231
3210,,67780,18
3210,,67780,0
3210,,67780,0
3210,,67780,163
3210,,67780,37
3210,,67780,47
3210,,67780,34
3210,,67780,38
3210,,67780,11
3210,,67780,12
3210,,67780,0
3210,,67780,0
3210,,67780,40
3210,,67780,20
3210,,67780,68
3210,,67780,18
3210,,67780,8
3210,,67780,173
3210,,67780,101
3210,,67780,36
3210,,67780,0
3210,,67780,0
3210,,67780,39
3210,,67780,47
3210,,67780,31
3210,,67780,202
3210,,67780,70
3210,,67780,0
3210,,67780,73
3210,,67780,44
3210,,67780,62
3210,,67780,37
3210,,67780,1336
3210,,67780,45
3210,,67780,0
3210,,67780,45
3210,,67780,248
3210,,67780,20
3210,,67780,84
3210,,67780,17
3210,,67780,24
3210,,67780,68
3210,,67780,7
3210,,67780,0
3210,,67780,39
3210,,67780,152
3211,,29402,25
3211,,29402,0
3211,,29402,115
3211,,29402,269
3211,,29402,18
3211,,29402,0
3211,,29402,255
3211,,29402,0
3211,,29402,0
3211,,29402,17
3211,,29402,267
3211,,29402,122
3211,,29402,239
3211,,29402,9
3211,,29402,0
3211,,29402,2945
3211,,29402,7
3211,,29402,68
3211,,29402,8
3211,,29402,0
3211,,29402,121
3211,,29402,0
3211,,29402,76
3211,,29402,0
3211,,29402,6
3211,,29402,0
3211,,29402,31
3211,,29402,0
3211,,29402,30
3211,,29402,0
3211,,29402,131
3211,,29402,231
3211,,29402,18
3211,,29402,0
3211,,29402,0
3211,,29402,163
3211,,29402,37
3211,,29402,47
3211,,29402,34
3211,,29402,38
3211,,29402,11
3211,,29402,12
3211,,29402,0
3211,,29402,0
3211,,29402,40
3211,,29402,20
3211,,29402,68
3211,,29402,18
3211,,29402,8
3211,,29402,173
3211,,29402,101
3211,,29402,36
3211,,29402,0
3211,,29402,0
3211,,29402,39
3211,,29402,47
3211,,29402,31
3211,,29402,202
3211,,29402,70
3211,,29402,0
3211,,29402,73
3211,,29402,44
3211,,29402,62
3211,,29402,37
3211,,29402,1336
3211,,29402,45
3211,,29402,0
3211,,29402,45
3211,,29402,248
3211,,29402,20
3211,,29402,84
3211,,29402,17
3211,,29402,24
3211,,29402,68
3211,,29402,7
3211,,29402,0
3211,,29402,39
3211,,29402,152
3212,,37724,25
3212,,37724,0
3212,,37724,115
3212,,37724,269
3212,,37724,18
3212,,37724,0
3212,,37724,255
3212,,37724,0
3212,,37724,0
3212,,37724,17
3212,,37724,267
3212,,37724,122
3212,,37724,239
3212,,37724,9
3212,,37724,0
3212,,37724,2945
3212,,37724,7
3212,,37724,68
3212,,37724,8
3212,,37724,0
3212,,37724,121
3212,,37724,0
3212,,37724,76
3212,,37724,0
3212,,37724,6
3212,,37724,0
3212,,37724,31
3212,,37724,0
3212,,37724,30
3212,,37724,0
3212,,37724,131
3212,,37724,231
3212,,37724,18
3212,,37724,0
3212,,37724,0
3212,,37724,163
3212,,37724,37
3212,,37724,47
3212,,37724,34
3212,,37724,38
3212,,37724,11
3212,,37724,12
3212,,37724,0
3212,,37724,0
3212,,37724,40
3212,,37724,20
3212,,37724,68
3212,,37724,18
3212,,37724,8
3212,,37724,173
3212,,37724,101
3212,,37724,36
3212,,37724,0
3212,,37724,0
3212,,37724,39
3212,,37724,47
3212,,37724,31
3212,,37724,202
3212,,37724,70
3212,,37724,0
3212,,37724,73
3212,,37724,44
3212,,37724,62
3212,,37724,37
3212,,37724,1336
3212,,37724,45
3212,,37724,0
3212,,37724,45
3212,,37724,248
3212,,37724,20
3212,,37724,84
3212,,37724,17
3212,,37724,24
3212,,37724,68
3212,,37724,7
3212,,37724,0
3212,,37724,39
3212,,37724,152
3213,,53371,25
3213,,53371,0
3213,,53371,115
3213,,53371,269
3213,,53371,18
3213,,53371,0
3213,,53371,255
3213,,53371,0
3213,,53371,0
3213,,53371,17
3213,,53371,267
3213,,53371,122
3213,,53371,239
3213,,53371,9
3213,,53371,0
3213,,53371,2945
3213,,53371,7
3213,,53371,68
3213,,53371,8
3213,,53371,0
3213,,53371,121
3213,,53371,0
3213,,53371,76
3213,,53371,0
3213,,53371,6
3213,,53371,0
3213,,53371,31
3213,,53371,0
3213,,53371,30
3213,,53371,0
3213,,53371,131
3213,,53371,231
3213,,53371,18
3213,,53371,0
3213,,53371,0
3213,,53371,163
3213,,53371,37
3213,,53371,47
3213,,53371,34
3213,,53371,38
3213,,53371,11
3213,,53371,12
3213,,53371,0
3213,,53371,0
3213,,53371,40
3213,,53371,20
3213,,53371,68
3213,,53371,18
3213,,53371,8
3213,,53371,173
3213,,53371,101
3213,,53371,36
3213,,53371,0
3213,,53371,0
3213,,53371,39
3213,,53371,47
3213,,53371,31
3213,,53371,202
3213,,53371,70
3213,,53371,0
3213,,53371,73
3213,,53371,44
3213,,53371,62
3213,,53371,37
3213,,53371,1336
3213,,53371,45
3213,,53371,0
3213,,53371,45
3213,,53371,248
3213,,53371,20
3213,,53371,84
